as_of,node,level,n_leaves,window_q,observed,expected,n_study,llr,p_value,obs_exp,recurrence_interval,reference
2025-10-01,Naloxone,substance,1,,1,0.1261119832548404,2,0.0,1.0,7.929460580912862,1.0,deaths
2025-10-01,Nicotine,substance,1,,0,0.18916797488226061,3,0.0,1.0,0.0,1.0,deaths
2025-10-01,Metonitazene,substance,1,,0,0.0630559916274202,1,0.0,1.0,0.0,1.0,deaths
2025-10-01,Metoclopramide,substance,1,,0,0.18916797488226061,3,0.0,1.0,0.0,1.0,deaths
2025-10-01,Midazolam,substance,1,,0,0.2522239665096808,4,0.0,1.0,0.0,1.0,deaths
2025-10-01,Mirtazapine,substance,1,,0,0.8197278911564627,13,0.0,1.0,0.0,1.0,deaths
2025-10-01,Pregabalin,substance,1,,0,0.2522239665096808,4,0.0,1.0,0.0,1.0,deaths
2025-10-01,Phenylpropanolamine,substance,1,,0,0.0630559916274202,1,0.0,1.0,0.0,1.0,deaths
2025-10-01,Propranolol,substance,1,,0,0.315279958137101,5,0.0,1.0,0.0,1.0,deaths
2025-10-01,Oxymorphone,substance,1,,0,0.18916797488226061,3,0.0,1.0,0.0,1.0,deaths
2025-10-01,Phenobarbital,substance,1,,0,0.0630559916274202,1,0.0,1.0,0.0,1.0,deaths
2025-10-01,Phentermine,substance,1,,0,0.1261119832548404,2,0.0,1.0,0.0,1.0,deaths
2025-10-01,Paroxetine,substance,1,,0,0.315279958137101,5,0.0,1.0,0.0,1.0,deaths
2025-10-01,Pentobarbital,substance,1,,0,0.0630559916274202,1,0.0,1.0,0.0,1.0,deaths
2025-10-01,Secobarbital,substance,1,,0,0.0630559916274202,1,0.0,1.0,0.0,1.0,deaths
2025-10-01,Salicylate,substance,1,,0,0.18916797488226061,3,0.0,1.0,0.0,1.0,deaths
2025-10-01,Rosuvastatin,substance,1,,1,0.0630559916274202,1,0.0,1.0,15.858921161825725,1.0,deaths
2025-10-01,Protonitazene,substance,1,,0,0.1261119832548404,2,0.0,1.0,0.0,1.0,deaths
2025-10-01,Prochlorperazine,substance,1,,0,0.0630559916274202,1,0.0,1.0,0.0,1.0,deaths
2025-10-01,Tizanidine,substance,1,,0,0.1261119832548404,2,0.0,1.0,0.0,1.0,deaths
2025-10-01,Sertraline,substance,1,,1,0.7566718995290425,12,0.0,1.0,1.3215767634854771,1.0,deaths
2025-10-01,Tapentadol,substance,1,,0,0.0630559916274202,1,0.0,1.0,0.0,1.0,deaths
2025-10-01,Valproic Acid,substance,1,,0,0.18916797488226061,3,0.0,1.0,0.0,1.0,deaths
2025-10-01,Topiramate,substance,1,,0,0.0630559916274202,1,0.0,1.0,0.0,1.0,deaths
2025-10-01,Temazepam,substance,1,,0,0.7566718995290425,12,0.0,1.0,0.0,1.0,deaths
2025-10-01,Vancomycin,substance,1,,0,0.0630559916274202,1,0.0,1.0,0.0,1.0,deaths
2025-10-01,Vilazodone,substance,1,,0,0.0630559916274202,1,0.0,1.0,0.0,1.0,deaths
2025-10-01,Zinc,substance,1,,0,0.0630559916274202,1,0.0,1.0,0.0,1.0,deaths
2025-10-01,Ziprasidone,substance,1,,0,0.0630559916274202,1,0.0,1.0,0.0,1.0,deaths
2025-10-01,para-Fluorofentanyl,substance,1,,3,11.413134484563058,181,0.0,1.0,0.26285504688108935,1.0,deaths
