Substance Name,Synonyms,Chemical Name,Chemical Formula,NFLIS Detailed Drug Category,Date Added to NFLIS-Drug,Chemical Structures
Formamide,,,,Other substances,10-1998,Structure Image cannot be exported
Formebolone,,,,Steroids,10-1998,Structure Image cannot be exported
Formic Acid,,,,Other substances,10-1998,Structure Image cannot be exported
Formocresol,,,,Other,06-2010,Structure Image cannot be exported
Formoterol (Eformoterol),,,,Other,08-2008,Structure Image cannot be exported
Fosamprenavir,,,,Other,03-2006,Structure Image cannot be exported
Fosfosal,,,,Other substances,03-2016,Structure Image cannot be exported
Fosinopril,,,,Other substances,04-2001,Structure Image cannot be exported
Fospropofol,,,,Depressants and Tranquilizers,07-2010,Structure Image cannot be exported
Frovatriptan,,,,Other,06-2010,Structure Image cannot be exported
Fucostanol,,,,Other,08-2008,Structure Image cannot be exported
Furan,,,,Other substances,10-1998,Structure Image cannot be exported
Furanyl UF-17,,N‐[2‐(dimethylamino)cyclohexyl]‐N‐phenylfuran‐2‐carboxamide,C19H24N2O2,Narcotic Analgesics,09-2019,Structure Image cannot be exported
Furanyl fentanyl,2-furanyl fentanyl,N-(1-phenethylpiperidin-4-yl)-N-phenylfuran-2-carboxamide,C24H26N2O2,Fentanyl and Fentanyl-related,05-2016,Structure Image cannot be exported
Furazabol,,,,Steroids,07-2006,Structure Image cannot be exported
Furazolidone,,,,Other,08-2008,Structure Image cannot be exported
Furethidine,,,,Narcotic Analgesics,10-1998,Structure Image cannot be exported
Furosemide,,,,Other substances,12-1999,Structure Image cannot be exported
Gabapentin,,,,Other substances,11-1999,Structure Image cannot be exported
Gabapentin lactam,GBP-L,2-azaspiro[4.5]decan-3-one,C9H15NO,Other substances,05-2018,Structure Image cannot be exported
Galantamine,,,,Other,07-2008,Structure Image cannot be exported
Gallic Acid,,,,Other substances,10-1998,Structure Image cannot be exported
Gamma-Aminobutyric Acid,,,,Other substances,05-2011,Structure Image cannot be exported
Gatifloxacin,,,,Other,06-2004,Structure Image cannot be exported
Gemfibrozil,,,,Other,05-2004,Structure Image cannot be exported
