LABTYPE,RPTAGGR,YYYY,PERIOD,DRUG_REPORTS,QUERY_RUN_DATE,SUBSTANCE_ID,SUBSTANCE_DESCRIPTION,BASE_ID,BASE_DESCRIPTION,DRUG_CATEGORY_CODE,DRUG_CATEGORY_DESCRIPTION,STATE,STATE_LONG_NAME,STATE_FIPS
"Local/Municipal,State,Federal,Private","DrugReport  ","2022","SA2 (JUL - DEC)","15","2026-08-18 18:32:21","4322","FLUALPRAZOLAM","4322","Flualprazolam","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2018","SA1 (JAN - JUN)","8","2026-08-18 18:32:21","1547","XYLAZINE","1547","Xylazine","2","Depressants and Tranquilizers","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2018","SA1 (JAN - JUN)","3","2026-08-18 18:32:21","3714","CARFENTANIL, SALT UNDETERMINED","1497","Carfentanil","33","Fentanyl and Fentanyl-related","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2019","SA2 (JUL - DEC)","2","2026-08-18 18:32:21","3714","CARFENTANIL, SALT UNDETERMINED","1497","Carfentanil","33","Fentanyl and Fentanyl-related","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2020","SA2 (JUL - DEC)","3","2026-08-18 18:32:21","4786","DESALKYLFLURAZEPAM, SALT UNDETERMINED","4376","Desalkylflurazepam","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2018","SA1 (JAN - JUN)","20","2026-08-18 18:32:21","2956","MITRAGYNINE","2956","Mitragynine","11","Narcotic Analgesics","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2016","SA1 (JAN - JUN)","5","2026-08-18 18:32:21","1644","BENZODIAZEPINE","1644","Benzodiazepine","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2024","SA2 (JUL - DEC)","6","2026-08-18 18:32:21","3764","CLONAZOLAM (CLONITRAZOLAM)","3764","Clonazolam","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2016","SA1 (JAN - JUN)","2","2026-08-18 18:32:21","3764","CLONAZOLAM (CLONITRAZOLAM)","3764","Clonazolam","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2019","SA1 (JAN - JUN)","12","2026-08-18 18:32:21","1547","XYLAZINE","1547","Xylazine","2","Depressants and Tranquilizers","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2025","SA2 (JUL - DEC)","11","2026-08-18 18:32:21","331","LORAZEPAM","331","Lorazepam","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2012","SA2 (JUL - DEC)","2","2026-08-18 18:32:21","302","PHENAZEPAM","302","Phenazepam","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2023","SA1 (JAN - JUN)","14","2026-08-18 18:32:21","1517","P-FLUOROFENTANYL","1517","para-Fluorofentanyl","33","Fentanyl and Fentanyl-related","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2024","SA1 (JAN - JUN)","2","2026-08-18 18:32:21","4840","FLUOROFENTANYL, ISOMER UNDETERMINED","3965","Fluorofentanyl","33","Fentanyl and Fentanyl-related","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2022","SA2 (JUL - DEC)","2","2026-08-18 18:32:21","314","NITRAZEPAM","314","Nitrazepam","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2020","SA1 (JAN - JUN)","8","2026-08-18 18:32:21","2956","MITRAGYNINE","2956","Mitragynine","11","Narcotic Analgesics","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2013","SA1 (JAN - JUN)","1","2026-08-18 18:32:21","315","OXAZEPAM","315","Oxazepam","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2025","SA2 (JUL - DEC)","2","2026-08-18 18:32:21","5280","ETHYLBROMAZOLAM","5280","Ethylbromazolam","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2020","SA2 (JUL - DEC)","12","2026-08-18 18:32:21","3763","FLUBROMAZOLAM","3763","Flubromazolam","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2012","SA2 (JUL - DEC)","1","2026-08-18 18:32:21","279","ESTAZOLAM","279","Estazolam","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2012","SA2 (JUL - DEC)","2","2026-08-18 18:32:21","289","FLURAZEPAM","289","Flurazepam","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2018","SA2 (JUL - DEC)","2","2026-08-18 18:32:21","3619","FLUBROMAZEPAM","3619","Flubromazepam","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2020","SA2 (JUL - DEC)","17","2026-08-18 18:32:21","4771","P-FLUOROFENTANYL, SALT UNDETERMINED","1517","para-Fluorofentanyl","33","Fentanyl and Fentanyl-related","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2023","SA1 (JAN - JUN)","1","2026-08-18 18:32:21","2956","MITRAGYNINE","2956","Mitragynine","11","Narcotic Analgesics","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2024","SA1 (JAN - JUN)","4","2026-08-18 18:32:21","3714","CARFENTANIL, SALT UNDETERMINED","1497","Carfentanil","33","Fentanyl and Fentanyl-related","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2021","SA1 (JAN - JUN)","1","2026-08-18 18:32:21","4592","ADINAZOLAM","4592","Adinazolam","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2013","SA1 (JAN - JUN)","3","2026-08-18 18:32:21","289","FLURAZEPAM","289","Flurazepam","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2018","SA2 (JUL - DEC)","1","2026-08-18 18:32:21","333","TRIAZOLAM","333","Triazolam","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2022","SA1 (JAN - JUN)","2","2026-08-18 18:32:21","4976","DESALKYLGIDAZEPAM","4976","Desalkylgidazepam","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2022","SA2 (JUL - DEC)","2","2026-08-18 18:32:21","3763","FLUBROMAZOLAM","3763","Flubromazolam","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2019","SA2 (JUL - DEC)","1","2026-08-18 18:32:21","4592","ADINAZOLAM","4592","Adinazolam","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2022","SA2 (JUL - DEC)","1","2026-08-18 18:32:21","333","TRIAZOLAM","333","Triazolam","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2013","SA2 (JUL - DEC)","1","2026-08-18 18:32:21","317","NIMETAZEPAM","317","Nimetazepam","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2016","SA2 (JUL - DEC)","1","2026-08-18 18:32:21","270","CHLORDIAZEPOXIDE HYDROCHLORIDE","269","Chlordiazepoxide","10","Benzodiazepines","CA","California","06"
"Local/Municipal,State,Federal,Private","DrugReport  ","2015","SA2 (JUL - DEC)","1","2026-08-18 18:32:21","1547","XYLAZINE","1547","Xylazine","2","Depressants and Tranquilizers","CA","California","06"
