model,threshold,tp,fp,recall,fpr,precision
eb05,0.45565419489601827,15,169,1.0,0.8622448979591837,0.08152173913043478
eb05,0.42755090537076346,15,178,1.0,0.9081632653061225,0.07772020725388601
eb05,0.42532306995258057,15,179,1.0,0.9132653061224489,0.07731958762886598
eb05,0.41591166441334715,15,183,1.0,0.9336734693877551,0.07575757575757576
eb05,0.3745615264860615,15,186,1.0,0.9489795918367347,0.07462686567164178
eb05,0.37433682774967275,15,187,1.0,0.9540816326530612,0.07425742574257425
eb05,0.3693984444062042,15,190,1.0,0.9693877551020408,0.07317073170731707
eb05,0.0,15,196,1.0,1.0,0.07109004739336493
eb05-weighted,inf,0,0,0.0,0.0,
eb05-weighted,6.884137217792497,1,0,0.06666666666666667,0.0,1.0
eb05-weighted,3.8850229742845257,2,0,0.13333333333333333,0.0,1.0
eb05-weighted,3.65800156145807,3,0,0.2,0.0,1.0
eb05-weighted,2.8434008502180608,4,0,0.26666666666666666,0.0,1.0
eb05-weighted,2.8295438641173374,5,0,0.3333333333333333,0.0,1.0
eb05-weighted,2.693703539389499,6,0,0.4,0.0,1.0
eb05-weighted,2.5733044104937663,7,0,0.4666666666666667,0.0,1.0
eb05-weighted,2.296969175690023,8,0,0.5333333333333333,0.0,1.0
eb05-weighted,2.0230313537985554,9,0,0.6,0.0,1.0
eb05-weighted,1.8330707715146548,9,1,0.6,0.00510204081632653,0.9
eb05-weighted,1.812066746226225,10,1,0.6666666666666666,0.00510204081632653,0.9090909090909091
eb05-weighted,1.637519332736907,11,1,0.7333333333333333,0.00510204081632653,0.9166666666666666
eb05-weighted,1.5685565137519861,11,2,0.7333333333333333,0.01020408163265306,0.8461538461538461
eb05-weighted,1.5364614049021503,12,2,0.8,0.01020408163265306,0.8571428571428571
eb05-weighted,1.5290280830349072,12,3,0.8,0.015306122448979591,0.8
eb05-weighted,1.4924583874725925,12,4,0.8,0.02040816326530612,0.75
eb05-weighted,1.4637913858551983,13,4,0.8666666666666667,0.02040816326530612,0.7647058823529411
eb05-weighted,1.4274581549801102,13,5,0.8666666666666667,0.025510204081632654,0.7222222222222222
eb05-weighted,1.3881371022185127,13,6,0.8666666666666667,0.030612244897959183,0.6842105263157895
eb05-weighted,1.299118260680387,14,6,0.9333333333333333,0.030612244897959183,0.7
eb05-weighted,1.2932092861337037,14,7,0.9333333333333333,0.03571428571428571,0.6666666666666666
eb05-weighted,1.2897126621916986,14,8,0.9333333333333333,0.04081632653061224,0.6363636363636364
eb05-weighted,1.2557331324017456,14,10,0.9333333333333333,0.05102040816326531,0.5833333333333334
