substance,n_recent,ebgm,eb05,as_of
"1,1-Difluoroethane",4,1.197278015864466,0.5813034191775037,2024-07-01
Flubromazepam,1,1.6430805752741227,0.573794597266351,2024-07-01
Estazolam,1,1.6430805752741227,0.573794597266351,2024-07-01
Atomoxetine,1,1.6430805752741227,0.573794597266351,2024-07-01
Arsenic,1,1.6430805752741227,0.573794597266351,2024-07-01
Escitalopram,1,1.6430805752741227,0.573794597266351,2024-07-01
Nicotine,1,1.6430805752741227,0.573794597266351,2024-07-01
Phenylpropanolamine,1,1.6430805752741227,0.573794597266351,2024-07-01
Zinc,1,1.6430805752741227,0.573794597266351,2024-07-01
MDMB-4en-PINACA,1,1.6430805752741227,0.573794597266351,2024-07-01
Secobarbital,1,1.6430805752741227,0.573794597266351,2024-07-01
Tapentadol,1,1.6430805752741227,0.573794597266351,2024-07-01
Venlafaxine,3,1.2168178763175495,0.5483982242347418,2024-07-01
Olanzapine,6,0.9769809094736481,0.5257682031057258,2024-07-01
Lamotrigine,2,1.2479795793516169,0.5077400905119317,2024-07-01
Midazolam,2,1.2479795793516169,0.5077400905119317,2024-07-01
Paroxetine,2,1.2479795793516169,0.5077400905119317,2024-07-01
Salicylate,1,1.3054313365380215,0.45588114136322305,2024-07-01
MDA,1,1.3054313365380215,0.45588114136322305,2024-07-01
Phenobarbital,1,1.3054313365380215,0.45588114136322305,2024-07-01
Buspirone,1,1.3054313365380215,0.45588114136322305,2024-07-01
Loperamide,1,1.3054313365380215,0.45588114136322305,2024-07-01
Levamisole,3,0.9928547712125391,0.4474620270238831,2024-07-01
Acetaminophen,2,1.0893294037199839,0.4431933175777221,2024-07-01
Flualprazolam,2,1.0893294037199839,0.4431933175777221,2024-07-01
Diazepam,14,0.6423862703112228,0.41789284189066783,2024-07-01
Acetyl fentanyl,24,0.5643520268402887,0.4041026061074009,2024-07-01
Oxymorphone,2,0.966466723893525,0.3932066758026738,2024-07-01
Flubromazolam,1,1.0828982611601605,0.3781684118194638,2024-07-01
Topiramate,1,1.0828982611601605,0.3781684118194638,2024-07-01
Temazepam,4,0.7281838801063963,0.3535484437924462,2024-07-01
Doxylamine,3,0.778047774701131,0.35065232547959646,2024-07-01
Sertraline,4,0.6895866784682886,0.3348086983151055,2024-07-01
Doxepin,1,0.9251847185553637,0.323091880562151,2024-07-01
Gabapentin,3,0.639656289524846,0.2882817388889721,2024-07-01
Zolpidem,1,0.8075700391815468,0.2820186254829524,2024-07-01
Benztropine,1,0.8075700391815468,0.2820186254829524,2024-07-01
GHB,1,0.7164862780872688,0.25021046537134234,2024-07-01
Buprenorphine,1,0.6438662491499862,0.22485018731523607,2024-07-01
Duloxetine,1,0.6438662491499862,0.22485018731523607,2024-07-01
Amlodipine,1,0.5846124005509068,0.2041576304771651,2024-07-01
Etizolam,1,0.5353455188584557,0.186952710058352,2024-07-01
Carfentanil,12,7.0174585354594,4.452239577817467,2024-10-01
Bromazolam,19,3.7779573482259585,2.609936990277136,2024-10-01
Lidocaine,16,3.2434912627573547,2.1738187699314526,2024-10-01
