zip,mean_log_rr,max_log_rr,min_p,n_cells,mean_rr
90650,-0.6088983663857279,-0.3530401097124525,0.878,103,0.5439497724817098
91330,-0.6160547134532968,-0.6032271786837384,1.0,2,0.5400709746879374
90211,-0.6202316869055815,-0.4722976452946712,1.0,10,0.5378198173495503
91325,-0.627955206600543,-0.5499926300048839,0.994,52,0.5336819553966069
91401,-0.6325099032249301,-0.5691698716889912,0.99,37,0.5312567232867891
91402,-0.6386571761778556,-0.5793160044496735,0.996,40,0.5280009604846282
90265,-0.6412904018797708,-0.2996153594142821,0.92,40,0.5266124437261691
90703,-0.6499462817813704,-0.19517456613855355,0.774,89,0.5220738208834201
91324,-0.6507204372939551,-0.5545844233908399,0.992,43,0.5216698109604391
91390,-0.6512995887788304,-0.11319426088140849,0.576,385,0.5213677725862356
91770,-0.6620178522065109,-0.30648975724012173,0.86,71,0.5158094564174629
91306,-0.6657046013584016,-0.6053079068805411,0.986,46,0.5139112975093506
90064,-0.6667708217822244,-0.4497290167181047,0.986,42,0.5133636467979816
90046,-0.6676185196167177,-0.3604270244446055,0.998,61,0.5129286539435822
90291,-0.6732763198730747,-0.4922979078705061,0.972,23,0.5100348002165073
91343,-0.6880122325351017,-0.5880910763915188,1.0,60,0.502574077232786
91780,-0.6918377902422197,-0.19909414859381558,0.754,41,0.5006551239717546
91403,-0.6940029242898025,-0.6123106512765295,0.992,37,0.4995723111571938
91384,-0.694370136275943,-0.39530987896876146,0.978,368,0.4993888958947954
91202,-0.6979836112288825,-0.53896657381306,0.984,22,0.4975876230148857
90601,-0.6986899987621479,-0.2892008391526053,0.774,101,0.49723625743602357
91040,-0.7098440578183492,-0.40617782154399373,0.798,129,0.4917208715079168
91723,-0.7121643127026129,-0.577565252691778,0.924,25,0.4905812763409909
91436,-0.7207331737269353,-0.5733743839149197,0.994,69,0.4863955127877163
90604,-0.7253920616655968,-0.5275636399102219,0.892,43,0.48413472107663796
91423,-0.7319338613228809,-0.6294215969293595,0.992,40,0.48097794547886186
90069,-0.7538848541689109,-0.6304752952216246,1.0,20,0.47053503745768577
91605,-0.7578133845733793,-0.6289641659790512,0.998,54,0.4686901524727728
90212,-0.7678469496059486,-0.6731163233751314,1.0,11,0.4640110327287319
91364,-0.7679107865785566,-0.736133023775476,0.97,76,0.46398141261458503
91303,-0.7710527100708563,-0.723445214813609,0.986,17,0.4625259062564687
91608,-0.7884206330735268,-0.7363751845906563,1.0,5,0.45456214907509024
91367,-0.7901200097407527,-0.6526688801607858,0.974,82,0.4537903327542143
91522,-0.8017934191118377,-0.8017934191118377,1.0,1,0.4485238511337713
91316,-0.8061503101588848,-0.6292905191099094,0.998,55,0.44657393245851534
91523,-0.8187142150745581,-0.8187142150745581,1.0,1,0.44099831911438664
91331,-0.8194060665656385,-0.6626127675135649,1.0,89,0.4406933192892012
91607,-0.819870732702568,-0.7165510339909957,1.0,25,0.4404885915956533
91201,-0.8229693995395603,-0.6691329029397148,0.994,31,0.43912577674983516
91352,-0.8284078276405078,-0.6322808167961802,0.918,145,0.43674410493130456
91356,-0.8341832214867174,-0.6692039932241314,0.994,77,0.4342290055510186
91521,-0.8378372228381106,-0.8378372228381106,1.0,1,0.43264522750366424
91606,-0.8382510399923717,-0.6551545641041887,0.998,41,0.4324662285257922
90067,-0.8434196454545737,-0.8074339272744617,1.0,3,0.43023674783114707
90405,-0.8499968782407789,-0.6528985165411618,0.99,28,0.4274162662373144
91790,-0.854900006248541,-0.4131346647572225,0.89,62,0.425325718870204
91016,-0.8564462741729634,-0.3430164950055774,0.908,202,0.4246685595568028
91387,-0.8646543687113499,-0.4003128721810323,0.998,321,0.4211971063705588
91501,-0.8748415776343679,-0.750323398191644,0.98,48,0.416928065177212
90025,-0.8764086146192469,-0.779737664990952,0.996,25,0.4162752351170608
91741,-0.8806865027624176,-0.28815586475750354,0.856,229,0.4144982597852443
91381,-0.8851036643100618,-0.3953271975786685,0.99,267,0.41267139176652023
91702,-0.893987635505502,-0.37066237133349844,0.984,179,0.40902146792383104
91604,-0.8985237464903536,-0.7725857106800795,1.0,51,0.4071703028693874
91342,-0.9012313570656589,-0.25426543585641426,0.796,557,0.40606933541955653
91006,-0.907123288075311,0.08537134970572824,0.404,68,0.4036838374060024
91345,-0.9130090980514882,-0.7884438543408527,1.0,34,0.4013148097111308
91722,-0.918774782084362,-0.7446443564956229,0.978,42,0.39900761299578447
91502,-0.9219659380620222,-0.8455595047779947,1.0,16,0.39773634694938814
