substance,n_recent,n_baseline,expected,share_recent_pct,share_baseline_pct,count_ratio,ebgm,eb05,eb95,n_total,first_seen,last_seen,date_added,date_added_censored,category
Ondansetron,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2022-10-01,2022-10-01,2003-10-01,False,Other substances
Opium,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2015-10-01,2015-10-01,1998-10-01,True,Narcotic Analgesics
Paliperidone,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2021-04-01,2021-04-01,2008-07-01,False,Other
Norfluoxetine,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2019-07-01,2019-07-01,2023-01-01,False,Other substances
Oxcarbazepine,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2015-01-01,2015-01-01,2003-10-01,False,Other
Perphenazine,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,2,2019-10-01,2020-01-01,1998-10-01,True,Depressants and Tranquilizers
Neriifolin,0,0,0.0,0.0,0.0,,0.8974579452201985,0.4596385253162766,1.6156369612745631,1,2017-01-01,2017-01-01,,False,Supplement
Chlorcyclizine,1,4,1.568384629393553,0.046446818392940084,0.072846476051721,0.5,0.8526592705573779,0.4574466269486692,1.480288955558043,14,2012-07-01,2025-10-01,2023-10-01,False,Other substances
Propranolol,1,4,1.568384629393553,0.046446818392940084,0.072846476051721,0.5,0.8526592705573779,0.4574466269486692,1.480288955558043,10,2017-10-01,2025-07-01,1998-10-01,True,Other substances
Doxepin,1,5,1.9604807867419414,0.046446818392940084,0.09105809506465125,0.4,0.8174939262049413,0.43858062887068544,1.4192389292922412,20,2013-07-01,2025-04-01,1998-10-01,True,Depressants and Tranquilizers
Doxylamine,1,5,1.9604807867419414,0.046446818392940084,0.09105809506465125,0.4,0.8174939262049413,0.43858062887068544,1.4192389292922412,31,2015-07-01,2025-10-01,1998-10-01,True,Other substances
Duloxetine,1,5,1.9604807867419414,0.046446818392940084,0.09105809506465125,0.4,0.8174939262049413,0.43858062887068544,1.4192389292922412,25,2014-10-01,2025-07-01,2008-02-01,False,Other substances
Vancomycin,0,1,0.39209615734838826,0.0,0.01821161901293025,0.0,0.8531327892201166,0.4369371280566058,1.5358411772722025,1,2023-04-01,2023-04-01,2014-05-01,False,Other substances
Vilazodone,0,1,0.39209615734838826,0.0,0.01821161901293025,0.0,0.8531327892201166,0.4369371280566058,1.5358411772722025,3,2017-01-01,2023-01-01,2012-11-01,False,Antidepressants
